show_id,cast,cast_id
s58,Motoko Kumai,CST000470
s58,Kazuhiko Inoue,CST000471
s58,Rikiya Koyama,CST000472
s58,Showtaro Morikubo,CST000473
s58,Nana Mizuki,CST000474
s58,Satoshi Hino,CST000475
s58,Shinji Kawada,CST000476
s59,Junko Takeuchi,CST000477
s59,Chie Nakamura,CST000478
s59,Kazuhiko Inoue,CST000479
s59,Satoshi Hino,CST000480
s59,Showtaro Morikubo,CST000481
s59,Kentaro Ito,CST000482
s59,Ryoka Yuzuki,CST000483
s59,Kohsuke Toriumi,CST000484
s59,Nana Mizuki,CST000485
s59,Shinji Kawada,CST000486
s59,Yoichi Masukawa,CST000487
s59,Koichi Tochika,CST000488
s59,Yukari Tamura,CST000489
s60,Junko Takeuchi,CST000490
s60,Chie Nakamura,CST000491
s60,Yoichi Masukawa,CST000492
s60,Koichi Tochika,CST000493
s60,Ayumi Fujimura,CST000494
s60,Keisuke Oda,CST000495
s60,Daisuke Kishio,CST000496
s60,Fumiko Orikasa,CST000497
s60,Hidetoshi Nakamura,CST000498
s60,Tetsuya Kakihara,CST000499
s60,Kisho Taniyama,CST000500
s60,Miyuki Sawashiro,CST000501
s60,Katsuyuki Konishi,CST000502
s60,Masako Katsuki,CST000503
s60,Keiko Nemoto,CST000504
s60,Masashi Ebara,CST000505
s60,Kazuhiko Inoue,CST000506
s60,Showtaro Morikubo,CST000507
s60,Romi Park,CST000508
s60,Daisuke Ono,CST000509
s60,Seizo Kato,CST000510
s61,Junko Takeuchi,CST000511
s61,Chie Nakamura,CST000512
s61,Satoshi Hino,CST000513
s61,Rikiya Koyama,CST000514
s61,Nobuaki Fukuda,CST000515
s61,Kenji Hamada,CST000516
s61,Keiko Nemoto,CST000517
s61,Saori Hayami,CST000518
s61,Yumi Toma,CST000519
s61,Yuko Kobayashi,CST000520
s61,Fujiko Takimoto,CST000521
s61,Mutsumi Tamura,CST000522
s61,Mayuki Makiguchi,CST000523
s61,Toshiyuki Morikawa,CST000524
s62,Junko Takeuchi,CST000525
s62,Gamon Kaai,CST000526
s62,Chie Nakamura,CST000527
s62,Showtaro Morikubo,CST000528
s62,Akira Ishida,CST000529
s62,Yasuyuki Kase,CST000530
s62,Urara Takano,CST000531
s62,Sachiko Kojima,CST000532
s62,Houko Kuwashima,CST000533
s62,Takako Honda,CST000534
s63,Junko Takeuchi,CST000535
s63,Chie Nakamura,CST000536
s63,Yoichi Masukawa,CST000537
s63,Kazuhiko Inoue,CST000538
s63,Akio Otsuka,CST000539
s63,Kyousuke Ikeda,CST000540
s63,Marika Hayashi,CST000541
s63,Umeji Sasaki,CST000542
s63,Masashi Sugawara,CST000543
s63,Hisao Egawa,CST000544
s64,Junko Takeuchi,CST000545
s64,Noriaki Sugiyama,CST000546
s64,Chie Nakamura,CST000547
s64,Kazuhiko Inoue,CST000548
s64,Yuhko Kaida,CST000549
s64,Tsutomu Isobe,CST000550
s64,Hirotaka Suzuoki,CST000551
s64,Jun Karasawa,CST000552
s64,Harii Kaneko,CST000553
s64,Ikuo Nishikawa,CST000554
s65,Winslow Fegley,CST000555
s65,Lidya Jewett,CST000556
s65,Krysten Ritter,CST000557
s66,Beth Chalmers,CST000558
s66,David Holt,CST000559
s66,Marcel McCalla,CST000560
s66,Teresa Gallagher,CST000561
s68,Mark-Paul Gosselaar,CST000562
s68,Tiffani Thiessen,CST000563
